"Kod";"Nazwa";"przeciętna liczba osób na 1 izbę;2002;[-]";"przeciętna liczba osób na 1 izbę;2003;[-]";"przeciętna liczba osób na 1 izbę;2004;[-]";"przeciętna liczba osób na 1 izbę;2005;[-]";"przeciętna liczba osób na 1 izbę;2006;[-]";"przeciętna liczba osób na 1 izbę;2007;[-]";"przeciętna liczba osób na 1 izbę;2008;[-]";"przeciętna liczba osób na 1 izbę;2009;[-]";"przeciętna liczba osób na 1 izbę;2010;[-]";"przeciętna liczba osób na 1 izbę;2011;[-]";"przeciętna liczba osób na 1 izbę;2012;[-]";"przeciętna liczba osób na 1 izbę;2013;[-]";"przeciętna liczba osób na 1 izbę;2014;[-]";"przeciętna liczba osób na 1 izbę;2015;[-]";"przeciętna liczba osób na 1 izbę;2016;[-]";"przeciętna liczba osób na 1 izbę;2017;[-]";"przeciętna liczba osób na 1 izbę;2018;[-]";"przeciętna liczba osób na 1 izbę;2019;[-]";"przeciętna liczba osób na 1 izbę;2020;[-]";"przeciętna liczba osób na 1 izbę;2021;[-]";"przeciętna liczba osób na 1 izbę;2022;[-]";
1013024;"Biała Rawska - miasto (4)";;0,83;0,81;0,80;0,79;0,79;0,80;0,78;0,78;0,77;0,77;0,76;0,76;0,72;0,72;0,72;0,72;0,71;0,66;0,65;0,64;
1013025;"Biała Rawska - obszar wiejski (5)";;0,94;0,93;0,93;0,93;0,92;0,91;0,90;0,81;0,80;0,80;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,72;0,71;0,70;
1013032;"Cielądz (2)";;0,97;0,96;0,95;0,94;0,93;0,93;0,92;0,88;0,87;0,87;0,86;0,85;0,84;0,82;0,81;0,80;0,78;0,73;0,73;0,73;
1013042;"Rawa Mazowiecka (2)";;0,95;0,95;0,94;0,94;0,93;0,92;0,91;0,87;0,86;0,85;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,73;0,73;0,72;
1013052;"Regnów (2)";;0,91;0,92;0,92;0,91;0,89;0,88;0,87;0,86;0,87;0,86;0,86;0,85;0,84;0,83;0,82;0,81;0,80;0,73;0,72;0,71;
1013062;"Sadkowice (2)";;0,95;0,95;0,94;0,93;0,92;0,91;0,91;0,88;0,87;0,87;0,86;0,85;0,85;0,84;0,83;0,82;0,81;0,76;0,74;0,73;
1014000;"Powiat sieradzki";;0,85;0,85;0,84;0,84;0,83;0,83;0,82;0,79;0,78;0,78;0,77;0,77;0,76;0,76;0,75;0,74;0,73;0,68;0,67;0,66;
1014011;"Sieradz (1)";;0,79;0,78;0,78;0,77;0,77;0,76;0,75;0,73;0,73;0,72;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,63;0,62;0,60;
1014023;"Błaszki (3)";;0,92;0,91;0,91;0,90;0,89;0,89;0,89;0,84;0,84;0,84;0,84;0,83;0,83;0,82;0,81;0,81;0,80;0,76;0,75;0,73;
1014024;"Błaszki - miasto (4)";;0,86;0,85;0,84;0,82;0,81;0,80;0,79;0,84;0,84;0,84;0,83;0,82;0,83;0,81;0,80;0,78;0,77;0,69;0,67;0,66;
1014025;"Błaszki - obszar wiejski (5)";;0,93;0,92;0,92;0,91;0,91;0,90;0,90;0,85;0,84;0,84;0,84;0,83;0,83;0,82;0,82;0,81;0,80;0,77;0,76;0,75;
1014032;"Brąszewice (2)";;0,94;0,93;0,93;0,93;0,92;0,91;0,91;0,90;0,89;0,89;0,89;0,89;0,89;0,88;0,87;0,87;0,86;0,78;0,77;0,76;
1014042;"Brzeźnio (2)";;0,89;0,90;0,89;0,89;0,88;0,86;0,86;0,81;0,80;0,80;0,80;0,80;0,79;0,78;0,78;0,77;0,77;0,69;0,69;0,68;
1014052;"Burzenin (2)";;0,86;0,84;0,84;0,84;0,83;0,82;0,82;0,77;0,77;0,77;0,76;0,75;0,75;0,74;0,74;0,73;0,73;0,67;0,66;0,65;
1014062;"Goszczanów (2)";;0,94;0,94;0,93;0,92;0,92;0,91;0,90;0,87;0,87;0,86;0,86;0,85;0,84;0,84;0,83;0,83;0,82;0,76;0,75;0,73;
1014072;"Klonowa (2)";;0,83;0,82;0,82;0,82;0,81;0,81;0,80;0,78;0,77;0,77;0,77;0,76;0,75;0,75;0,74;0,73;0,74;0,70;0,70;0,70;
1014082;"Sieradz (2)";;0,92;0,92;0,92;0,91;0,91;0,91;0,90;0,82;0,82;0,81;0,81;0,80;0,79;0,79;0,78;0,78;0,77;0,69;0,69;0,68;
1014093;"Warta (3)";;0,88;0,88;0,87;0,87;0,87;0,86;0,86;0,82;0,81;0,81;0,80;0,80;0,80;0,80;0,79;0,78;0,77;0,72;0,71;0,70;
1014094;"Warta - miasto (4)";;0,80;0,80;0,80;0,79;0,80;0,80;0,79;0,76;0,76;0,76;0,75;0,75;0,74;0,73;0,72;0,72;0,71;0,67;0,65;0,64;
1014095;"Warta - obszar wiejski (5)";;0,92;0,91;0,90;0,90;0,90;0,89;0,88;0,84;0,83;0,83;0,83;0,82;0,82;0,82;0,82;0,81;0,80;0,74;0,73;0,73;
1014102;"Wróblew (2)";;0,85;0,84;0,84;0,84;0,83;0,83;0,82;0,78;0,77;0,77;0,76;0,76;0,76;0,76;0,75;0,74;0,73;0,63;0,62;0,62;
1014113;"Złoczew (3)";;0,91;0,90;0,89;0,89;0,89;0,89;0,89;0,83;0,82;0,82;0,81;0,80;0,79;0,78;0,77;0,77;0,75;0,72;0,71;0,70;
1014114;"Złoczew - miasto (4)";;0,81;0,81;0,80;0,81;0,80;0,80;0,80;0,76;0,75;0,74;0,73;0,73;0,71;0,71;0,68;0,69;0,67;0,66;0,65;0,65;
1014115;"Złoczew - obszar wiejski (5)";;1,00;1,00;0,99;0,98;0,98;0,98;0,97;0,90;0,90;0,90;0,88;0,88;0,87;0,86;0,86;0,86;0,85;0,79;0,77;0,75;
1015000;"Powiat skierniewicki";;0,87;0,86;0,85;0,84;0,83;0,83;0,82;0,78;0,77;0,77;0,76;0,75;0,74;0,73;0,73;0,72;0,71;0,69;0,68;0,67;
1015012;"Bolimów (2)";;0,83;0,82;0,81;0,81;0,80;0,79;0,78;0,76;0,75;0,75;0,73;0,72;0,72;0,72;0,71;0,71;0,70;0,67;0,66;;
1015013;"Bolimów (3)";;;;;;;;;;;;;;;;;;;;;0,65;
1015014;"Bolimów - miasto (4)";;;;;;;;;;;;;;;;;;;;;0,61;
1015015;"Bolimów - obszar wiejski (5)";;;;;;;;;;;;;;;;;;;;;0,66;
1015022;"Głuchów (2)";;0,95;0,94;0,93;0,92;0,91;0,91;0,90;0,85;0,84;0,84;0,84;0,83;0,82;0,82;0,81;0,80;0,79;0,75;0,74;0,73;
1015032;"Godzianów (2)";;0,96;0,95;0,96;0,94;0,93;0,93;0,91;0,84;0,84;0,83;0,82;0,81;0,79;0,79;0,79;0,79;0,78;0,77;0,75;0,74;
1015042;"Kowiesy (2)";;0,71;0,71;0,70;0,69;0,69;0,67;0,67;0,64;0,64;0,64;0,64;0,63;0,62;0,61;0,61;0,60;0,60;0,59;0,58;0,57;
1015052;"Lipce Reymontowskie (2)";;0,86;0,84;0,83;0,83;0,82;0,81;0,80;0,74;0,74;0,72;0,72;0,71;0,71;0,71;0,71;0,70;0,70;0,67;0,66;0,65;
1015062;"Maków (2)";;0,89;0,88;0,88;0,87;0,86;0,86;0,84;0,79;0,79;0,78;0,78;0,76;0,75;0,75;0,74;0,73;0,73;0,71;0,70;0,69;
1015072;"Nowy Kawęczyn (2)";;0,81;0,81;0,79;0,78;0,78;0,78;0,77;0,72;0,70;0,69;0,69;0,68;0,67;0,66;0,66;0,65;0,63;0,63;0,62;0,61;
1015082;"Skierniewice (2)";;0,87;0,86;0,84;0,83;0,82;0,81;0,80;0,80;0,78;0,77;0,75;0,74;0,73;0,72;0,72;0,70;0,69;0,68;0,67;0,66;
1015092;"Słupia (2)";;0,94;0,93;0,92;0,92;0,91;0,90;0,90;0,88;0,87;0,88;0,87;0,86;0,86;0,84;0,83;0,81;0,81;0,76;0,75;0,74;
1016000;"Powiat tomaszowski";;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,68;0,67;0,65;0,64;0,63;
1016011;"Tomaszów Mazowiecki (1)";;0,78;0,77;0,77;0,76;0,75;0,74;0,73;0,73;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,66;0,64;0,63;0,61;
1016022;"Będków (2)";;0,77;0,76;0,76;0,75;0,74;0,73;0,73;0,72;0,71;0,70;0,69;0,69;0,69;0,69;0,68;0,68;0,67;0,65;0,64;0,64;
1016032;"Budziszewice (2)";;0,84;0,83;0,82;0,81;0,80;0,79;0,78;0,76;0,75;0,74;0,74;0,72;0,71;0,70;0,69;0,69;0,68;0,68;0,68;0,67;
1016042;"Czerniewice (2)";;0,94;0,94;0,93;0,92;0,92;0,91;0,89;0,89;0,87;0,86;0,85;0,84;0,83;0,83;0,82;0,81;0,79;0,74;0,73;0,71;
1016052;"Inowłódz (2)";;0,73;0,73;0,72;0,71;0,69;0,68;0,67;0,66;0,65;0,64;0,63;0,62;0,62;0,61;0,60;0,60;0,59;0,54;0,53;0,52;
1016062;"Lubochnia (2)";;0,87;0,87;0,87;0,86;0,86;0,85;0,84;0,80;0,78;0,75;0,73;0,73;0,72;0,71;0,71;0,70;0,70;0,72;0,71;0,70;
1016072;"Rokiciny (2)";;0,75;0,74;0,73;0,73;0,73;0,72;0,71;0,70;0,69;0,69;0,68;0,67;0,66;0,65;0,65;0,64;0,64;0,64;0,63;0,62;
1016082;"Rzeczyca (2)";;0,97;0,96;0,95;0,94;0,93;0,92;0,91;0,92;0,91;0,90;0,88;0,87;0,86;0,85;0,84;0,83;0,83;0,75;0,74;0,73;
1016092;"Tomaszów Mazowiecki (2)";;0,83;0,82;0,82;0,81;0,79;0,77;0,76;0,73;0,71;0,71;0,70;0,68;0,67;0,67;0,66;0,65;0,65;0,63;0,62;0,62;
1016102;"Ujazd (2)";;0,81;0,81;0,81;0,80;0,79;0,78;0,78;0,77;0,76;0,76;0,75;0,75;0,74;0,72;0,72;0,71;0,70;0,67;0,66;0,65;
1016112;"Żelechlinek (2)";;0,86;0,85;0,84;0,83;0,82;0,82;0,81;0,79;0,78;0,77;0,76;0,76;0,75;0,75;0,74;0,73;0,73;0,70;0,68;0,67;
1017000;"Powiat wieluński";;0,81;0,80;0,80;0,80;0,79;0,79;0,78;0,75;0,75;0,74;0,73;0,73;0,72;0,72;0,71;0,70;0,69;0,65;0,64;0,63;
1017012;"Biała (2)";;0,83;0,83;0,82;0,83;0,82;0,82;0,81;0,79;0,79;0,79;0,78;0,77;0,77;0,76;0,76;0,75;0,75;0,72;0,71;0,70;
1017022;"Czarnożyły (2)";;0,88;0,87;0,88;0,87;0,86;0,86;0,86;0,81;0,80;0,79;0,78;0,78;0,76;0,76;0,76;0,75;0,74;0,69;0,69;0,68;
1017032;"Konopnica (2)";;0,75;0,74;0,73;0,72;0,72;0,71;0,71;0,65;0,65;0,65;0,65;0,65;0,64;0,64;0,63;0,62;0,62;0,57;0,56;0,55;
1017042;"Mokrsko (2)";;0,84;0,84;0,84;0,83;0,83;0,82;0,82;0,76;0,75;0,75;0,75;0,75;0,74;0,74;0,73;0,73;0,72;0,67;0,65;0,65;
1017052;"Osjaków (2)";;0,79;0,79;0,79;0,79;0,79;0,78;0,77;0,75;0,75;0,75;0,74;0,74;0,73;0,72;0,72;0,72;0,70;0,64;0,64;0,63;
1017062;"Ostrówek (2)";;0,85;0,85;0,85;0,85;0,85;0,84;0,83;0,76;0,75;0,75;0,74;0,73;0,73;0,73;0,72;0,71;0,70;0,69;0,68;0,67;
1017072;"Pątnów (2)";;0,87;0,87;0,86;0,86;0,85;0,85;0,84;0,86;0,85;0,84;0,83;0,83;0,82;0,81;0,81;0,80;0,79;0,69;0,68;0,67;
1017082;"Skomlin (2)";;0,82;0,81;0,81;0,80;0,80;0,80;0,79;0,80;0,80;0,79;0,80;0,79;0,79;0,78;0,77;0,76;0,76;0,71;0,70;0,70;
1017093;"Wieluń (3)";;0,78;0,77;0,77;0,76;0,76;0,75;0,74;0,72;0,71;0,71;0,70;0,69;0,69;0,68;0,68;0,66;0,66;0,62;0,61;0,60;
1017094;"Wieluń - miasto (4)";;0,75;0,75;0,74;0,74;0,73;0,72;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,66;0,66;0,64;0,63;0,60;0,59;0,58;
1017095;"Wieluń - obszar wiejski (5)";;0,86;0,85;0,85;0,85;0,85;0,83;0,82;0,76;0,76;0,75;0,75;0,74;0,74;0,74;0,73;0,73;0,72;0,66;0,65;0,64;
1017102;"Wierzchlas (2)";;0,85;0,85;0,84;0,85;0,84;0,83;0,82;0,78;0,77;0,75;0,75;0,75;0,75;0,74;0,74;0,73;0,73;0,68;0,67;0,66;
1018000;"Powiat wieruszowski";;0,79;0,78;0,78;0,77;0,76;0,76;0,75;0,73;0,72;0,71;0,71;0,70;0,70;0,69;0,68;0,68;0,67;0,65;0,64;0,63;
1018012;"Bolesławiec (2)";;0,74;0,73;0,72;0,72;0,72;0,72;0,71;0,70;0,69;0,69;0,68;0,68;0,68;0,67;0,67;0,67;0,67;0,64;0,63;0,62;
1018022;"Czastary (2)";;0,78;0,77;0,77;0,76;0,76;0,75;0,74;0,71;0,71;0,70;0,70;0,69;0,69;0,68;0,67;0,67;0,66;0,66;0,65;0,64;
1018032;"Galewice (2)";;0,83;0,82;0,82;0,82;0,81;0,80;0,79;0,76;0,75;0,75;0,73;0,73;0,73;0,72;0,71;0,70;0,68;0,68;0,67;0,66;
1018042;"Lututów (2)";;0,82;0,82;0,81;0,80;0,78;0,77;0,77;0,73;0,73;0,71;0,71;0,71;0,71;0,70;0,69;0,69;0,68;;;;
1018043;"Lututów (3)";;;;;;;;;;;;;;;;;;;0,70;0,70;0,69;
1018044;"Lututów - miasto (4)";;;;;;;;;;;;;;;;;;;0,65;0,65;0,65;
1018045;"Lututów - obszar wiejski (5)";;;;;;;;;;;;;;;;;;;0,76;0,74;0,74;
1018052;"Łubnice (2)";;0,85;0,84;0,84;0,84;0,84;0,83;0,82;0,79;0,79;0,78;0,78;0,77;0,76;0,76;0,76;0,74;0,73;0,71;0,70;0,69;
1018062;"Sokolniki (2)";;0,78;0,77;0,77;0,77;0,76;0,75;0,75;0,70;0,70;0,69;0,69;0,67;0,67;0,67;0,66;0,65;0,65;0,63;0,61;0,61;
1018073;"Wieruszów (3)";;0,76;0,76;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,67;0,66;0,66;0,62;0,61;0,60;
1018074;"Wieruszów - miasto (4)";;0,73;0,72;0,72;0,71;0,70;0,70;0,69;0,69;0,68;0,68;0,68;0,66;0,65;0,65;0,64;0,63;0,63;0,60;0,59;0,57;
1018075;"Wieruszów - obszar wiejski (5)";;0,82;0,81;0,81;0,80;0,81;0,80;0,79;0,76;0,75;0,75;0,74;0,73;0,73;0,72;0,72;0,71;0,71;0,67;0,65;0,64;
1019000;"Powiat zduńskowolski";;0,83;0,83;0,82;0,82;0,81;0,81;0,80;0,77;0,76;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,67;0,66;0,65;
1019011;"Zduńska Wola (1)";;0,80;0,80;0,79;0,79;0,78;0,78;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,65;0,64;0,63;
1019023;"Szadek (3)";;0,87;0,87;0,86;0,86;0,85;0,85;0,84;0,79;0,78;0,78;0,78;0,78;0,77;0,76;0,76;0,75;0,74;0,71;0,70;0,69;
1019024;"Szadek - miasto (4)";;0,79;0,77;0,76;0,75;0,74;0,75;0,74;0,72;0,72;0,72;0,71;0,71;0,70;0,69;0,68;0,67;0,66;0,62;0,61;0,60;
1019025;"Szadek - obszar wiejski (5)";;0,91;0,91;0,90;0,90;0,90;0,89;0,89;0,82;0,81;0,81;0,81;0,81;0,80;0,79;0,79;0,78;0,77;0,75;0,74;0,73;
1019032;"Zapolice (2)";;0,88;0,87;0,87;0,87;0,86;0,84;0,83;0,77;0,76;0,76;0,76;0,75;0,74;0,73;0,72;0,71;0,70;0,70;0,70;0,69;
1019042;"Zduńska Wola (2)";;0,90;0,91;0,91;0,91;0,91;0,89;0,88;0,81;0,81;0,80;0,80;0,80;0,78;0,77;0,76;0,75;0,74;0,69;0,68;0,67;
1020000;"Powiat zgierski";;0,76;0,75;0,75;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,71;0,70;0,69;0,69;0,68;0,68;0,67;0,63;0,62;0,62;
1020011;"Głowno (1)";;0,73;0,73;0,73;0,72;0,71;0,71;0,70;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,68;0,63;0,61;0,61;
1020021;"Ozorków (1)";;0,82;0,81;0,81;0,80;0,80;0,79;0,79;0,80;0,79;0,78;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,68;0,67;0,66;
1020031;"Zgierz (1)";;0,77;0,77;0,76;0,76;0,75;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,71;0,70;0,69;0,69;0,68;0,65;0,63;0,62;
1020043;"Aleksandrów Łódzki (3)";;0,75;0,75;0,76;0,75;0,75;0,75;0,75;0,72;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,67;0,66;0,63;0,63;0,62;
1020044;"Aleksandrów Łódzki - miasto (4)";;0,77;0,77;0,77;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,69;0,68;0,68;0,66;0,66;0,64;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";;0,68;0,69;0,70;0,71;0,72;0,72;0,72;0,67;0,68;0,67;0,67;0,67;0,66;0,65;0,64;0,64;0,63;0,59;0,58;0,58;
1020052;"Głowno (2)";;0,89;0,88;0,87;0,86;0,85;0,85;0,85;0,81;0,81;0,80;0,81;0,80;0,79;0,78;0,78;0,76;0,75;0,75;0,73;0,72;
1020062;"Ozorków (2)";;0,83;0,83;0,82;0,82;0,82;0,81;0,80;0,72;0,71;0,71;0,70;0,70;0,69;0,69;0,68;0,67;0,66;0,66;0,65;0,63;
1020072;"Parzęczew (2)";;0,82;0,81;0,80;0,76;0,74;0,74;0,74;0,73;0,72;0,70;0,68;0,67;0,67;0,66;0,65;0,65;0,65;0,58;0,58;0,57;
1020083;"Stryków (3)";;0,78;0,78;0,77;0,76;0,76;0,75;0,75;0,71;0,71;0,70;0,69;0,69;0,68;0,67;0,67;0,67;0,67;0,63;0,62;0,61;
1020084;"Stryków - miasto (4)";;0,75;0,75;0,73;0,72;0,72;0,71;0,70;0,72;0,71;0,71;0,71;0,71;0,69;0,69;0,68;0,68;0,67;0,63;0,62;0,61;
1020085;"Stryków - obszar wiejski (5)";;0,80;0,79;0,79;0,78;0,78;0,77;0,77;0,70;0,70;0,70;0,69;0,68;0,68;0,67;0,67;0,67;0,66;0,62;0,62;0,61;
1020092;"Zgierz (2)";;0,56;0,56;0,56;0,56;0,56;0,56;0,55;0,58;0,58;0,58;0,58;0,58;0,58;0,57;0,57;0,56;0,57;0,55;0,55;0,54;
1021000;"Powiat brzeziński";;0,81;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,72;0,71;0,70;0,70;0,69;0,68;0,65;0,64;0,63;
1021011;"Brzeziny (1)";;0,83;0,82;0,81;0,80;0,79;0,78;0,77;0,78;0,76;0,76;0,75;0,75;0,74;0,73;0,73;0,72;0,70;0,65;0,65;0,64;
1021022;"Brzeziny (2)";;0,83;0,83;0,82;0,82;0,81;0,79;0,78;0,77;0,76;0,74;0,72;0,71;0,70;0,69;0,68;0,67;0,66;0,66;0,65;0,64;
1021032;"Dmosin (2)";;0,82;0,82;0,80;0,80;0,79;0,78;0,77;0,72;0,72;0,71;0,70;0,69;0,68;0,67;0,66;0,65;0,65;0,64;0,64;0,63;
1021042;"Jeżów (2)";;0,82;0,81;0,81;0,80;0,79;0,78;0,77;0,76;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,68;0,67;0,64;0,63;0,62;
1021052;"Rogów (2)";;0,74;0,74;0,73;0,73;0,72;0,71;0,71;0,71;0,70;0,70;0,69;0,69;0,68;0,67;0,67;0,66;0,65;0,64;0,64;0,63;
1061000;"Powiat m. Łódź";;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,69;0,69;0,67;0,66;0,66;0,65;0,64;0,63;0,62;0,61;0,59;0,58;0,57;
1061011;"Łódź (1)";;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,69;0,69;0,67;0,66;0,66;0,65;0,64;0,63;0,62;0,61;0,59;0,58;0,57;
1062000;"Powiat m. Piotrków Trybunalski";;0,81;0,80;0,79;0,78;0,76;0,76;0,74;0,72;0,71;0,71;0,70;0,69;0,68;0,68;0,67;0,66;0,65;0,62;0,61;0,59;
1062011;"Piotrków Trybunalski (1)";;0,81;0,80;0,79;0,78;0,76;0,76;0,74;0,72;0,71;0,71;0,70;0,69;0,68;0,68;0,67;0,66;0,65;0,62;0,61;0,59;
1063000;"Powiat m. Skierniewice";;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,69;0,68;0,67;0,67;0,66;0,66;0,66;0,65;0,65;0,64;0,61;0,59;0,58;
1063011;"Skierniewice (1)";;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,69;0,68;0,67;0,67;0,66;0,66;0,66;0,65;0,65;0,64;0,61;0,59;0,58;
1200000;"MAŁOPOLSKIE";;0,86;0,85;0,84;0,84;0,83;0,81;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,67;0,66;0,65;
1201000;"Powiat bocheński";;0,82;0,82;0,82;0,81;0,80;0,79;0,79;0,81;0,80;0,79;0,78;0,77;0,76;0,76;0,74;0,74;0,73;0,69;0,68;0,67;
1201011;"Bochnia (1)";;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,77;0,76;0,75;0,74;0,72;0,72;0,71;0,70;0,69;0,68;0,65;0,63;0,62;
1201022;"Bochnia (2)";;0,81;0,82;0,81;0,82;0,81;0,80;0,79;0,80;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,73;0,73;0,70;0,69;0,68;
1201032;"Drwinia (2)";;0,86;0,85;0,85;0,86;0,85;0,84;0,84;0,85;0,84;0,84;0,83;0,81;0,81;0,80;0,79;0,78;0,77;0,74;0,73;0,73;
1201042;"Lipnica Murowana (2)";;0,90;0,90;0,89;0,89;0,88;0,87;0,85;0,87;0,86;0,85;0,84;0,84;0,83;0,81;0,80;0,78;0,77;0,72;0,71;0,71;
1201052;"Łapanów (2)";;0,85;0,85;0,84;0,84;0,83;0,81;0,81;0,83;0,82;0,81;0,79;0,77;0,76;0,75;0,74;0,73;0,72;0,69;0,68;0,67;
1201063;"Nowy Wiśnicz (3)";;0,84;0,84;0,83;0,83;0,82;0,81;0,81;0,83;0,82;0,80;0,79;0,79;0,78;0,77;0,76;0,75;0,75;0,72;0,71;0,70;
1201064;"Nowy Wiśnicz - miasto (4)";;0,76;0,76;0,75;0,75;0,75;0,73;0,71;0,77;0,76;0,75;0,73;0,73;0,72;0,71;0,69;0,69;0,69;0,68;0,67;0,65;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";;0,86;0,86;0,86;0,85;0,85;0,84;0,84;0,84;0,83;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,77;0,73;0,72;0,71;
1201072;"Rzezawa (2)";;0,82;0,82;0,82;0,82;0,82;0,81;0,80;0,82;0,81;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,75;0,73;0,71;0,70;
1201082;"Trzciana (2)";;0,82;0,81;0,81;0,81;0,81;0,80;0,81;0,85;0,84;0,85;0,83;0,82;0,82;0,80;0,78;0,78;0,77;0,73;0,72;0,71;
1201092;"Żegocina (2)";;0,87;0,85;0,86;0,86;0,86;0,86;0,85;0,91;0,90;0,90;0,89;0,88;0,87;0,86;0,84;0,83;0,82;0,74;0,73;0,72;
1202000;"Powiat brzeski";;0,88;0,87;0,87;0,86;0,85;0,84;0,84;0,84;0,83;0,83;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,72;0,71;0,69;
1202012;"Borzęcin (2)";;0,91;0,90;0,89;0,89;0,88;0,87;0,86;0,86;0,86;0,85;0,85;0,84;0,83;0,82;0,81;0,81;0,80;0,76;0,75;0,74;
1202023;"Brzesko (3)";;0,86;0,85;0,84;0,83;0,82;0,81;0,81;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,68;0,67;0,66;
1202024;"Brzesko - miasto (4)";;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,72;0,65;0,65;0,63;
1202025;"Brzesko - obszar wiejski (5)";;0,89;0,88;0,88;0,87;0,86;0,85;0,84;0,84;0,83;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,70;0,69;0,68;
1202033;"Czchów (3)";;0,90;0,90;0,89;0,88;0,87;0,86;0,86;0,87;0,86;0,85;0,84;0,83;0,82;0,81;0,79;0,78;0,77;0,71;0,70;0,68;
1202034;"Czchów - miasto (4)";;0,78;0,78;0,77;0,76;0,76;0,77;0,76;0,77;0,77;0,75;0,74;0,74;0,73;0,72;0,71;0,69;0,68;0,66;0,65;0,63;
1202035;"Czchów - obszar wiejski (5)";;0,95;0,95;0,93;0,92;0,91;0,90;0,90;0,90;0,90;0,89;0,88;0,86;0,85;0,84;0,82;0,81;0,80;0,73;0,71;0,70;
1202042;"Dębno (2)";;0,94;0,93;0,93;0,92;0,91;0,90;0,90;0,88;0,87;0,87;0,86;0,85;0,85;0,83;0,82;0,82;0,81;0,75;0,74;0,73;
1202052;"Gnojnik (2)";;0,85;0,85;0,85;0,85;0,84;0,83;0,83;0,81;0,80;0,80;0,80;0,79;0,79;0,78;0,76;0,76;0,75;0,78;0,77;0,75;
1202062;"Iwkowa (2)";;0,93;0,92;0,90;0,89;0,88;0,88;0,88;0,88;0,86;0,85;0,84;0,83;0,82;0,81;0,79;0,79;0,79;0,76;0,75;0,74;
1202072;"Szczurowa (2)";;0,85;0,85;0,84;0,83;0,83;0,83;0,82;0,83;0,83;0,82;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,71;0,70;0,69;
1203000;"Powiat chrzanowski";;0,80;0,79;0,79;0,78;0,77;0,77;0,76;0,76;0,75;0,75;0,74;0,73;0,73;0,72;0,71;0,71;0,70;0,66;0,64;0,63;
1203013;"Alwernia (3)";;0,81;0,80;0,80;0,79;0,79;0,78;0,76;0,75;0,75;0,74;0,73;0,73;0,72;0,71;0,70;0,70;0,69;0,66;0,65;0,64;
1203014;"Alwernia - miasto (4)";;0,78;0,78;0,77;0,77;0,76;0,75;0,73;0,71;0,71;0,71;0,70;0,70;0,69;0,68;0,68;0,67;0,66;0,65;0,64;0,63;
1203015;"Alwernia - obszar wiejski (5)";;0,81;0,81;0,81;0,80;0,80;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,71;0,71;0,69;0,67;0,66;0,65;
1203022;"Babice (2)";;0,78;0,78;0,78;0,77;0,76;0,76;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,71;0,70;0,69;0,68;0,66;0,65;0,65;
1203033;"Chrzanów (3)";;0,80;0,80;0,79;0,78;0,77;0,77;0,76;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,66;0,65;0,64;
1203034;"Chrzanów - miasto (4)";;0,80;0,80;0,79;0,78;0,77;0,76;0,76;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,65;0,64;0,63;
