"Kod";"Nazwa";"jednorodzinne;2020;[ha]";"jednorodzinne;2021;[ha]";"jednorodzinne;2022;[ha]";"jednorodzinne - uzbrojone;2020;[ha]";"jednorodzinne - uzbrojone;2021;[ha]";"jednorodzinne - uzbrojone;2022;[ha]";
1205000;"Powiat gorlicki";40;43;39;17;15;11;
1205023;"Biecz (3)";15;13;8;15;13;8;
1205024;"Biecz - miasto (4)";12;9;4;12;9;4;
1205025;"Biecz - obszar wiejski (5)";4;4;5;4;4;5;
1205033;"Bobowa (3)";1;1;1;1;1;1;
1205035;"Bobowa - obszar wiejski (5)";1;1;1;1;1;1;
1205082;"Ropa (2)";0;1;1;0;1;1;
1205092;"Sękowa (2)";1;9;9;1;1;1;
1205102;"Uście Gorlickie (2)";22;20;20;0;0;0;
1206000;"Powiat krakowski";2736;2737;2737;108;109;110;
1206012;"Czernichów (2)";40;40;40;40;40;40;
1206032;"Iwanowice (2)";3;3;3;2;2;2;
1206042;"Jerzmanowice-Przeginia (2)";2;2;2;0;0;0;
1206052;"Kocmyrzów-Luborzyca (2)";10;10;10;10;10;10;
1206063;"Krzeszowice (3)";2633;2633;2632;16;16;16;
1206064;"Krzeszowice - miasto (4)";495;495;495;1;1;1;
1206065;"Krzeszowice - obszar wiejski (5)";2138;2138;2138;15;15;15;
1206092;"Mogilany (2)";8;9;9;8;9;9;
1206113;"Skawina (3)";8;7;9;8;7;9;
1206114;"Skawina - miasto (4)";3;2;1;3;2;1;
1206115;"Skawina - obszar wiejski (5)";5;5;8;5;5;8;
1206123;"Słomniki (3)";2;2;2;2;2;2;
1206124;"Słomniki - miasto (4)";2;2;2;2;2;2;
1206132;"Sułoszowa (2)";1;1;1;1;1;1;
1206143;"Świątniki Górne (3)";7;7;7;2;2;2;
1206144;"Świątniki Górne - miasto (4)";3;3;3;1;1;1;
1206145;"Świątniki Górne - obszar wiejski (5)";3;3;3;1;1;1;
1206162;"Zabierzów (2)";21;21;21;21;21;21;
1206172;"Zielonki (2)";3;3;3;0;0;0;
1207000;"Powiat limanowski";10;9;9;4;3;3;
1207021;"Mszana Dolna (1)";4;4;4;0;0;0;
1207032;"Dobra (2)";1;1;1;1;1;1;
1207042;"Jodłownik (2)";2;2;2;0;0;0;
1207052;"Kamienica (2)";1;0;0;1;0;0;
1207072;"Limanowa (2)";1;1;1;1;1;1;
1208000;"Powiat miechowski";3;2;2;1;1;1;
1208053;"Miechów (3)";3;2;1;0;0;0;
1208054;"Miechów - miasto (4)";1;0;0;0;0;0;
1208055;"Miechów - obszar wiejski (5)";2;1;1;0;0;0;
1208072;"Słaboszów (2)";1;1;1;1;1;1;
1209000;"Powiat myślenicki";27;26;25;23;23;23;
1209013;"Dobczyce (3)";12;12;12;11;11;11;
1209014;"Dobczyce - miasto (4)";11;11;11;10;10;10;
1209015;"Dobczyce - obszar wiejski (5)";2;2;2;1;1;1;
1209033;"Myślenice (3)";10;10;10;10;10;10;
1209034;"Myślenice - miasto (4)";9;9;9;9;9;9;
1209035;"Myślenice - obszar wiejski (5)";1;1;1;1;1;1;
1209042;"Pcim (2)";1;1;0;0;0;0;
1209062;"Siepraw (2)";2;2;2;2;2;2;
1209082;"Tokarnia (2)";1;1;1;0;0;0;
1210000;"Powiat nowosądecki";122;122;47;90;92;26;
1210011;"Grybów (1)";3;3;3;3;3;3;
1210022;"Chełmiec (2)";10;10;10;10;10;10;
1210032;"Gródek nad Dunajcem (2)";2;2;2;0;2;0;
1210042;"Grybów (2)";4;3;3;2;2;2;
1210052;"Kamionka Wielka (2)";1;1;1;1;1;1;
1210062;"Korzenna (2)";75;75;0;64;64;0;
1210073;"Krynica-Zdrój (3)";6;6;6;2;2;2;
1210074;"Krynica-Zdrój - miasto (4)";5;5;5;1;1;1;
1210075;"Krynica-Zdrój - obszar wiejski (5)";1;1;1;1;1;1;
1210082;"Łabowa (2)";2;2;2;0;0;0;
1210092;"Łącko (2)";1;1;1;1;1;1;
1210102;"Łososina Dolna (2)";1;1;1;1;1;1;
1210113;"Muszyna (3)";12;12;12;1;1;1;
1210114;"Muszyna - miasto (4)";4;4;4;0;0;0;
1210115;"Muszyna - obszar wiejski (5)";8;8;8;1;1;1;
1210122;"Nawojowa (2)";2;2;2;2;2;2;
1210163;"Stary Sącz (3)";2;3;3;2;2;2;
1210164;"Stary Sącz - miasto (4)";0;2;2;0;0;0;
1210165;"Stary Sącz - obszar wiejski (5)";2;2;2;2;2;2;
1211000;"Powiat nowotarski";15;15;15;5;5;5;
1211011;"Nowy Targ (1)";3;3;3;2;2;2;
1211042;"Czorsztyn (2)";7;7;7;0;0;0;
1211062;"Krościenko nad Dunajcem (2)";1;1;1;0;0;0;
1211123;"Rabka-Zdrój (3)";3;3;3;3;3;3;
1211124;"Rabka-Zdrój - miasto (4)";3;3;3;3;3;3;
1212000;"Powiat olkuski";4;3;10;3;2;4;
1212011;"Bukowno (1)";0;0;7;0;0;1;
1212032;"Bolesław (2)";0;2;2;0;1;1;
1212053;"Olkusz (3)";3;2;2;2;1;1;
1212054;"Olkusz - miasto (4)";3;2;2;2;1;1;
1213000;"Powiat oświęcimski";50;45;44;34;33;32;
1213011;"Oświęcim (1)";26;26;25;26;26;25;
1213023;"Brzeszcze (3)";7;7;7;4;4;4;
1213024;"Brzeszcze - miasto (4)";1;1;1;1;1;1;
1213025;"Brzeszcze - obszar wiejski (5)";6;6;6;3;3;3;
1213033;"Chełmek (3)";3;2;2;3;2;2;
1213034;"Chełmek - miasto (4)";2;1;1;2;1;1;
1213035;"Chełmek - obszar wiejski (5)";1;1;1;1;1;1;
1213043;"Kęty (3)";0;0;1;0;0;1;
1213062;"Oświęcim (2)";3;2;2;0;0;0;
1213093;"Zator (3)";10;7;7;1;0;0;
1213094;"Zator - miasto (4)";10;4;3;1;0;0;
1213095;"Zator - obszar wiejski (5)";0;3;3;0;0;0;
1214000;"Powiat proszowicki";5;6;6;3;3;3;
1214012;"Koniusza (2)";2;2;2;2;2;2;
1214023;"Koszyce (3)";1;1;1;1;0;0;
1214025;"Koszyce - obszar wiejski (5)";1;1;1;1;0;0;
1214033;"Nowe Brzesko (3)";2;2;2;0;0;0;
1214034;"Nowe Brzesko - miasto (4)";1;1;1;0;0;0;
1214035;"Nowe Brzesko - obszar wiejski (5)";1;1;1;0;0;0;
1214053;"Proszowice (3)";0;2;2;0;2;2;
1214054;"Proszowice - miasto (4)";0;2;2;0;2;2;
1215000;"Powiat suski";9;9;9;5;5;5;
1215011;"Jordanów (1)";2;2;2;1;1;1;
1215032;"Budzów (2)";3;3;3;2;2;2;
1215052;"Jordanów (2)";4;4;4;3;3;3;
1216000;"Powiat tarnowski";39;39;35;6;7;3;
1216022;"Gromnik (2)";1;1;1;0;0;0;
1216053;"Radłów (3)";5;5;5;1;1;1;
1216055;"Radłów - obszar wiejski (5)";5;5;5;1;1;1;
1216063;"Ryglice (3)";2;3;1;2;3;1;
1216064;"Ryglice - miasto (4)";1;0;0;1;0;0;
1216065;"Ryglice - obszar wiejski (5)";1;3;1;1;3;1;
1216082;"Skrzyszów (2)";2;2;1;1;0;0;
1216092;"Tarnów (2)";5;5;5;0;0;0;
1216103;"Tuchów (3)";16;16;16;0;0;0;
1216104;"Tuchów - miasto (4)";2;2;2;0;0;0;
1216105;"Tuchów - obszar wiejski (5)";15;15;14;0;0;0;
1216112;"Wierzchosławice (2)";1;1;0;1;1;0;
1216122;"Wietrzychowice (2)";2;2;2;0;0;0;
1216133;"Wojnicz (3)";2;2;2;0;0;0;
1216134;"Wojnicz - miasto (4)";1;1;0;0;0;0;
1216135;"Wojnicz - obszar wiejski (5)";2;2;2;0;0;0;
1216153;"Żabno (3)";2;3;2;1;2;1;
1216154;"Żabno - miasto (4)";1;1;1;0;0;0;
1216155;"Żabno - obszar wiejski (5)";2;2;1;1;2;1;
1216162;"Szerzyny (2)";1;0;0;0;0;0;
1218000;"Powiat wadowicki";63;60;61;20;18;18;
1218013;"Andrychów (3)";22;21;21;5;5;5;
1218014;"Andrychów - miasto (4)";21;20;20;4;4;4;
1218015;"Andrychów - obszar wiejski (5)";1;1;1;1;1;1;
1218022;"Brzeźnica (2)";8;8;8;8;8;8;
1218033;"Kalwaria Zebrzydowska (3)";26;26;26;0;0;0;
1218034;"Kalwaria Zebrzydowska - miasto (4)";24;24;24;0;0;0;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";2;2;2;0;0;0;
1218062;"Spytkowice (2)";4;2;2;4;2;2;
1218072;"Stryszów (2)";0;0;1;0;0;1;
1218093;"Wadowice (3)";3;3;3;3;3;3;
1218094;"Wadowice - miasto (4)";1;1;1;1;1;1;
1218095;"Wadowice - obszar wiejski (5)";2;2;2;2;2;2;
1219000;"Powiat wielicki";95;93;92;79;77;76;
1219012;"Biskupice (2)";5;5;5;5;5;5;
1219022;"Gdów (2)";12;11;11;10;9;8;
1219032;"Kłaj (2)";3;3;3;3;3;3;
1219043;"Niepołomice (3)";36;36;36;36;36;36;
1219044;"Niepołomice - miasto (4)";22;21;21;22;21;21;
1219045;"Niepołomice - obszar wiejski (5)";14;15;15;14;15;15;
1219053;"Wieliczka (3)";39;38;38;26;25;24;
1219054;"Wieliczka - miasto (4)";8;8;8;2;2;1;
1219055;"Wieliczka - obszar wiejski (5)";31;30;30;24;23;23;
1262000;"Powiat m. Nowy Sącz";2;0;0;1;0;0;
1262011;"Nowy Sącz (1)";2;0;0;1;0;0;
1263000;"Powiat m. Tarnów";21;18;31;5;5;6;
1263011;"Tarnów (1)";21;18;31;5;5;6;
1400000;"MAZOWIECKIE";846;854;911;448;452;440;
1401000;"Powiat białobrzeski";43;44;44;27;28;29;
1401013;"Białobrzegi (3)";9;9;9;9;9;9;
1401014;"Białobrzegi - miasto (4)";4;4;4;4;4;4;
1401015;"Białobrzegi - obszar wiejski (5)";5;5;5;5;5;5;
1401022;"Promna (2)";10;11;12;10;11;12;
1401052;"Stromiec (2)";23;23;23;8;8;8;
1401063;"Wyśmierzyce (3)";1;1;0;0;0;0;
1401065;"Wyśmierzyce - obszar wiejski (5)";1;1;0;0;0;0;
1402000;"Powiat ciechanowski";34;35;34;11;11;10;
1402011;"Ciechanów (1)";2;1;1;1;1;0;
1402022;"Ciechanów (2)";6;8;8;0;0;0;
1402033;"Glinojeck (3)";5;5;5;5;5;5;
1402034;"Glinojeck - miasto (4)";5;5;5;5;5;5;
1402035;"Glinojeck - obszar wiejski (5)";1;1;1;0;0;0;
1402042;"Gołymin-Ośrodek (2)";3;3;3;1;1;1;
1402072;"Opinogóra Górna (2)";5;4;4;5;4;4;
1402082;"Regimin (2)";14;13;13;0;0;0;
1403000;"Powiat garwoliński";9;9;8;7;7;6;
1403011;"Garwolin (1)";1;1;1;1;1;1;
1403042;"Garwolin (2)";1;1;1;1;1;1;
1403103;"Pilawa (3)";0;1;0;0;1;0;
1403105;"Pilawa - obszar wiejski (5)";0;1;0;0;1;0;
1403112;"Sobolew (2)";5;5;5;3;3;3;
1403122;"Trojanów (2)";0;1;1;0;1;1;
1403132;"Wilga (2)";2;1;1;2;0;0;
1404000;"Powiat gostyniński";2;2;2;2;2;2;
1404011;"Gostynin (1)";2;1;1;2;1;1;
1404043;"Sanniki (3)";1;1;1;1;1;1;
1404045;"Sanniki - obszar wiejski (5)";1;1;1;1;1;1;
1405000;"Powiat grodziski";10;11;10;6;6;6;
1405011;"Milanówek (1)";1;1;1;0;0;0;
1405021;"Podkowa Leśna (1)";1;1;1;1;1;1;
1405043;"Grodzisk Mazowiecki (3)";3;4;3;0;0;0;
1405044;"Grodzisk Mazowiecki - miasto (4)";0;1;1;0;0;0;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";3;3;2;0;0;0;
1405052;"Jaktorów (2)";3;3;3;3;3;3;
1405062;"Żabia Wola (2)";3;3;3;2;2;2;
1406000;"Powiat grójecki";15;13;14;9;7;6;
1406032;"Chynów (2)";1;1;1;0;0;0;
1406073;"Mogielnica (3)";0;0;1;0;0;0;
1406075;"Mogielnica - obszar wiejski (5)";0;0;1;0;0;0;
1406083;"Nowe Miasto nad Pilicą (3)";2;0;0;2;0;0;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";2;0;0;2;0;0;
1406092;"Pniewy (2)";6;6;6;1;1;1;
1406113;"Warka (3)";6;6;6;6;6;6;
1406114;"Warka - miasto (4)";6;5;5;6;5;5;
1406115;"Warka - obszar wiejski (5)";1;1;1;0;0;0;
1407000;"Powiat kozienicki";2;2;3;1;1;1;
1407053;"Kozienice (3)";2;2;3;1;1;1;
1407054;"Kozienice - miasto (4)";2;2;3;1;1;1;
1408000;"Powiat legionowski";36;38;37;14;16;15;
1408011;"Legionowo (1)";21;21;21;0;0;0;
1408022;"Jabłonna (2)";1;2;2;1;2;2;
1408032;"Nieporęt (2)";8;10;9;8;10;9;
1408043;"Serock (3)";3;3;3;3;3;3;
1408045;"Serock - obszar wiejski (5)";3;2;2;3;2;2;
1408052;"Wieliszew (2)";3;3;3;2;2;2;
1409000;"Powiat lipski";4;4;4;0;0;0;
1409062;"Solec nad Wisłą (2)";4;;;0;;;
1409063;"Solec nad Wisłą (3)";;4;4;;0;0;
1409065;"Solec nad Wisłą - obszar wiejski (5)";;4;4;;0;0;
1410000;"Powiat łosicki";3;3;3;1;1;1;
1410012;"Huszlew (2)";2;2;2;0;0;0;
1410023;"Łosice (3)";1;1;1;1;1;1;
1410025;"Łosice - obszar wiejski (5)";1;1;1;0;0;0;
1411000;"Powiat makowski";1;1;1;1;1;1;
1411073;"Różan (3)";1;1;1;1;1;1;
1411075;"Różan - obszar wiejski (5)";1;1;1;1;1;1;
1412000;"Powiat miński";46;44;43;15;13;13;
1412011;"Mińsk Mazowiecki (1)";1;2;1;1;2;1;
1412052;"Dębe Wielkie (2)";1;1;1;0;0;0;
1412062;"Dobre (2)";1;1;1;1;1;1;
1412073;"Halinów (3)";35;35;35;6;6;6;
1412075;"Halinów - obszar wiejski (5)";35;35;35;6;6;6;
1412093;"Kałuszyn (3)";2;0;0;2;0;0;
1412094;"Kałuszyn - miasto (4)";2;0;0;2;0;0;
1412102;"Latowicz (2)";2;2;1;0;0;0;
1412112;"Mińsk Mazowiecki (2)";3;3;3;3;3;3;
1412151;"Sulejówek (1)";2;1;1;2;1;1;
1413000;"Powiat mławski";28;25;24;22;20;20;
1413011;"Mława (1)";5;3;3;1;0;0;
1413022;"Dzierzgowo (2)";1;1;1;1;1;1;
1413032;"Lipowiec Kościelny (2)";8;7;7;8;7;7;
1413052;"Strzegowo (2)";4;4;4;3;2;2;
1413062;"Stupsk (2)";1;1;1;1;1;1;
1413082;"Szydłowo (2)";7;7;7;7;7;7;
1413092;"Wieczfnia Kościelna (2)";2;2;2;2;2;2;
1413102;"Wiśniewo (2)";1;1;1;1;1;1;
1414000;"Powiat nowodworski";85;84;85;33;32;33;
1414011;"Nowy Dwór Mazowiecki (1)";46;45;45;20;19;19;
1414022;"Czosnów (2)";33;33;33;10;10;10;
1414032;"Leoncin (2)";3;3;3;0;0;0;
1414043;"Nasielsk (3)";1;1;1;1;1;1;
1414045;"Nasielsk - obszar wiejski (5)";1;1;1;1;1;1;
1414052;"Pomiechówek (2)";2;2;1;2;2;1;
1414063;"Zakroczym (3)";0;0;3;0;0;3;
1414064;"Zakroczym - miasto (4)";0;0;3;0;0;3;
1415000;"Powiat ostrołęcki";33;33;24;22;22;12;
1415042;"Goworowo (2)";1;1;1;0;0;0;
1415052;"Kadzidło (2)";3;3;2;3;3;2;
1415062;"Lelis (2)";1;1;1;1;1;1;
1415072;"Łyse (2)";8;8;8;0;0;0;
1415083;"Myszyniec (3)";11;11;3;9;9;0;
1415084;"Myszyniec - miasto (4)";11;11;3;9;9;0;
1415102;"Rzekuń (2)";10;10;10;10;10;10;
1415112;"Troszyn (2)";1;1;1;0;0;0;
1416000;"Powiat ostrowski";17;17;17;14;14;13;
1416011;"Ostrów Mazowiecka (1)";11;11;11;8;7;7;
1416052;"Małkinia Górna (2)";1;1;1;1;1;1;
1416072;"Ostrów Mazowiecka (2)";1;1;1;1;1;1;
1416102;"Wąsewo (2)";1;0;0;1;0;0;
1416112;"Zaręby Kościelne (2)";4;4;4;4;4;4;
1417000;"Powiat otwocki";34;33;32;33;32;30;
1417011;"Józefów (1)";6;5;4;6;5;4;
1417021;"Otwock (1)";11;11;10;11;11;10;
1417032;"Celestynów (2)";1;1;1;1;1;1;
1417043;"Karczew (3)";15;15;14;15;15;14;
1417044;"Karczew - miasto (4)";15;15;14;15;15;14;
1417082;"Wiązowna (2)";1;1;2;0;0;0;
1418000;"Powiat piaseczyński";28;26;26;16;15;16;
1418013;"Góra Kalwaria (3)";11;10;10;4;3;3;
1418014;"Góra Kalwaria - miasto (4)";8;6;6;0;0;0;
1418015;"Góra Kalwaria - obszar wiejski (5)";4;3;3;4;3;3;
1418023;"Konstancin-Jeziorna (3)";8;8;8;8;8;8;
1418024;"Konstancin-Jeziorna - miasto (4)";8;8;8;8;8;8;
1418043;"Piaseczno (3)";9;8;9;5;4;5;
1418044;"Piaseczno - miasto (4)";5;4;5;3;2;3;
1418045;"Piaseczno - obszar wiejski (5)";4;4;4;2;2;2;
1419000;"Powiat płocki";35;34;34;22;22;22;
1419012;"Bielsk (2)";4;4;4;1;1;1;
1419022;"Bodzanów (2)";1;1;1;0;0;0;
1419032;"Brudzeń Duży (2)";2;2;2;2;2;2;
1419063;"Gąbin (3)";1;1;1;0;0;0;
1419065;"Gąbin - obszar wiejski (5)";1;1;0;0;0;0;
1419092;"Nowy Duninów (2)";1;1;1;1;1;1;
1419122;"Słupno (2)";2;2;2;2;2;2;
1419132;"Stara Biała (2)";16;16;16;16;16;16;
1419142;"Staroźreby (2)";8;8;8;0;0;0;
1420000;"Powiat płoński";19;18;15;4;5;5;
1420011;"Płońsk (1)";4;4;4;2;2;2;
1420021;"Raciąż (1)";3;3;0;0;0;0;
1420062;"Joniec (2)";1;0;0;0;0;0;
1420082;"Nowe Miasto (2)";9;9;;0;0;;
1420083;"Nowe Miasto (3)";;;9;;;0;
1420084;"Nowe Miasto - miasto (4)";;;4;;;0;
1420085;"Nowe Miasto - obszar wiejski (5)";;;5;;;0;
1420102;"Raciąż (2)";1;1;1;1;1;1;
1420112;"Sochocin (2)";1;;;1;;;
1420113;"Sochocin (3)";;1;1;;1;1;
1420114;"Sochocin - miasto (4)";;1;1;;1;1;
1421000;"Powiat pruszkowski";31;37;37;17;22;22;
1421011;"Piastów (1)";2;2;2;2;2;2;
1421021;"Pruszków (1)";1;5;5;1;5;5;
1421033;"Brwinów (3)";14;15;15;14;15;15;
1421034;"Brwinów - miasto (4)";7;7;7;7;7;7;
1421035;"Brwinów - obszar wiejski (5)";7;8;8;7;8;8;
1421052;"Nadarzyn (2)";14;15;15;0;0;0;
1422000;"Powiat przasnyski";4;4;4;4;4;4;
1422062;"Krzynowłoga Mała (2)";4;4;4;4;4;4;
1424000;"Powiat pułtuski";3;2;2;1;1;1;
1424043;"Pułtusk (3)";1;1;1;0;0;0;
1424044;"Pułtusk - miasto (4)";1;1;1;0;0;0;
1424062;"Winnica (2)";1;0;1;0;0;1;
1425000;"Powiat radomski";16;16;15;14;15;14;
1425011;"Pionki (1)";2;1;1;2;1;1;
1425033;"Iłża (3)";11;11;11;11;11;11;
1425034;"Iłża - miasto (4)";11;11;11;11;11;11;
1425072;"Kowala (2)";2;3;2;0;3;2;
1425092;"Przytyk (2)";2;2;2;1;1;1;
1426000;"Powiat siedlecki";5;5;4;4;4;4;
1426022;"Korczew (2)";1;1;0;0;0;0;
1426092;"Skórzec (2)";3;3;3;3;3;3;
1426122;"Wodynie (2)";1;1;1;1;1;1;
1427000;"Powiat sierpecki";33;32;32;7;6;6;
1427011;"Sierpc (1)";25;24;24;5;4;4;
1427022;"Gozdowo (2)";6;5;5;0;0;0;
1427032;"Mochowo (2)";1;1;1;0;0;0;
1427072;"Zawidz (2)";2;2;2;2;2;2;
1428000;"Powiat sochaczewski";5;5;3;5;5;3;
1428011;"Sochaczew (1)";4;4;3;4;4;3;
1429000;"Powiat sokołowski";2;2;2;2;2;2;
1429011;"Sokołów Podlaski (1)";1;1;0;1;1;0;
1429092;"Sterdyń (2)";2;2;2;2;2;2;
1430000;"Powiat szydłowiecki";8;7;10;4;2;6;
1430012;"Chlewiska (2)";2;2;1;2;2;1;
1430022;"Jastrząb (2)";1;1;2;0;1;0;
1430042;"Orońsko (2)";5;5;5;2;0;5;
1430053;"Szydłowiec (3)";0;0;2;0;0;0;
1430055;"Szydłowiec - obszar wiejski (5)";0;0;2;0;0;0;
1432000;"Powiat warszawski zachodni";14;14;13;8;8;7;
1432013;"Błonie (3)";10;10;10;4;4;4;
1432014;"Błonie - miasto (4)";6;6;6;3;3;3;
1432015;"Błonie - obszar wiejski (5)";3;3;3;2;2;2;
1432022;"Izabelin (2)";1;1;1;1;1;1;
1432042;"Leszno (2)";1;1;1;1;1;1;
1432053;"Łomianki (3)";1;1;1;1;1;0;
1432055;"Łomianki - obszar wiejski (5)";1;1;0;0;0;0;
1432072;"Stare Babice (2)";1;1;1;1;1;1;
1433000;"Powiat węgrowski";1;5;4;0;4;3;
1433011;"Węgrów (1)";1;1;1;0;0;0;
1433053;"Łochów (3)";0;4;3;0;4;3;
1433054;"Łochów - miasto (4)";0;4;3;0;4;3;
1434000;"Powiat wołomiński";28;32;32;9;14;15;
1434011;"Kobyłka (1)";2;2;2;2;2;2;
1434021;"Marki (1)";12;12;12;4;4;4;
1434031;"Ząbki (1)";4;3;3;0;0;0;
1434062;"Jadów (2)";1;1;1;1;1;1;
1434072;"Klembów (2)";1;6;6;0;5;5;
1434093;"Radzymin (3)";4;4;4;0;0;0;
1434095;"Radzymin - obszar wiejski (5)";4;4;4;0;0;0;
1434113;"Tłuszcz (3)";2;2;2;2;2;2;
1434114;"Tłuszcz - miasto (4)";1;1;1;1;1;1;
1434115;"Tłuszcz - obszar wiejski (5)";0;1;1;0;1;1;
1434123;"Wołomin (3)";3;2;1;0;0;1;
1434124;"Wołomin - miasto (4)";3;2;1;0;0;1;
1435000;"Powiat wyszkowski";15;15;15;7;7;7;
1435012;"Brańszczyk (2)";3;3;3;0;0;0;
1435022;"Długosiodło (2)";0;0;2;0;0;2;
1435042;"Somianka (2)";2;2;2;2;2;2;
1435053;"Wyszków (3)";10;10;9;5;5;4;
1435054;"Wyszków - miasto (4)";9;9;8;5;5;4;
1435055;"Wyszków - obszar wiejski (5)";1;1;1;0;0;0;
1436000;"Powiat zwoleński";2;1;1;0;0;0;
1436053;"Zwoleń (3)";2;1;1;0;0;0;
1436055;"Zwoleń - obszar wiejski (5)";1;1;1;0;0;0;
1437000;"Powiat żuromiński";11;18;25;6;6;6;
1437022;"Kuczbork-Osada (2)";3;3;3;3;3;3;
1437033;"Lubowidz (3)";2;10;17;0;0;0;
1437034;"Lubowidz - miasto (4)";2;10;13;0;0;0;
1437035;"Lubowidz - obszar wiejski (5)";0;0;4;0;0;0;
1437042;"Lutocin (2)";1;1;1;1;1;1;
1437063;"Żuromin (3)";5;4;4;2;2;2;
1437064;"Żuromin - miasto (4)";3;3;3;0;0;0;
1437065;"Żuromin - obszar wiejski (5)";2;2;2;2;2;2;
1438000;"Powiat żyrardowski";19;18;18;16;15;15;
1438011;"Żyrardów (1)";1;0;0;1;0;0;
1438023;"Mszczonów (3)";1;1;1;1;1;1;
1438024;"Mszczonów - miasto (4)";1;1;1;1;1;1;
1438032;"Puszcza Mariańska (2)";9;9;9;6;6;6;
1438042;"Radziejowice (2)";8;8;8;8;8;8;
1462000;"Powiat m. Płock";14;13;13;2;1;1;
1462011;"Płock (1)";14;13;13;2;1;1;
1463000;"Powiat m. Radom";0;0;69;0;0;0;
1463011;"Radom (1)";0;0;69;0;0;0;
1464000;"Powiat m. Siedlce";11;10;10;0;0;0;
1464011;"Siedlce (1)";11;10;10;0;0;0;
1465000;"Powiat m. st. Warszawa";139;140;139;82;81;82;
1465011;"M.st.Warszawa od 2002 (1)";139;140;139;82;81;82;
1465028;"Bemowo - dzielnica (8)";3;3;3;3;3;3;
1465038;"Białołęka - dzielnica (8)";65;65;65;12;12;12;
1465048;"Bielany - dzielnica (8)";56;56;56;56;56;56;
1465058;"Mokotów - dzielnica (8)";11;11;11;8;8;8;
1465078;"Praga-Południe - dzielnica (8)";2;2;2;2;2;2;
1465138;"Ursynów - dzielnica (8)";0;1;1;0;0;0;
1465158;"Wesoła - dzielnica (8)";1;1;1;1;0;0;
1465198;"Żoliborz - dzielnica (8)";1;1;1;1;1;1;
1600000;"OPOLSKIE";733;730;725;229;243;237;
1601000;"Powiat brzeski";91;95;94;22;27;26;
1601011;"Brzeg (1)";20;20;20;2;2;2;
1601022;"Skarbimierz (2)";2;8;8;0;7;7;
1601033;"Grodków (3)";48;47;46;4;3;2;
1601034;"Grodków - miasto (4)";8;8;8;1;1;1;
1601035;"Grodków - obszar wiejski (5)";40;39;38;3;2;2;
1601043;"Lewin Brzeski (3)";5;4;4;0;0;0;
1601044;"Lewin Brzeski - miasto (4)";1;0;0;0;0;0;
1601045;"Lewin Brzeski - obszar wiejski (5)";4;4;3;0;0;0;
1601052;"Lubsza (2)";17;17;16;16;16;15;
1602000;"Powiat głubczycki";33;31;27;3;11;10;
1602013;"Baborów (3)";1;1;1;0;0;0;
1602014;"Baborów - miasto (4)";1;1;1;0;0;0;
1602022;"Branice (2)";1;1;1;0;0;0;
1602033;"Głubczyce (3)";13;13;12;1;1;2;
1602034;"Głubczyce - miasto (4)";13;13;12;0;1;1;
1602043;"Kietrz (3)";18;17;14;2;9;9;
1602044;"Kietrz - miasto (4)";13;13;9;2;9;8;
1602045;"Kietrz - obszar wiejski (5)";5;4;4;0;0;0;
1603000;"Powiat kędzierzyńsko-kozielski";21;20;19;3;4;5;
1603011;"Kędzierzyn-Koźle (1)";17;15;12;1;0;0;
1603022;"Bierawa (2)";1;2;4;1;2;3;
1603032;"Cisek (2)";1;1;1;1;1;1;
1603052;"Polska Cerekiew (2)";1;1;1;1;1;1;
1603062;"Reńska Wieś (2)";1;1;1;0;0;1;
1604000;"Powiat kluczborski";10;8;6;4;3;1;
1604013;"Byczyna (3)";2;1;1;2;1;1;
1604014;"Byczyna - miasto (4)";2;1;1;2;1;1;
1604023;"Kluczbork (3)";5;4;3;0;0;0;
1604024;"Kluczbork - miasto (4)";3;2;1;0;0;0;
1604025;"Kluczbork - obszar wiejski (5)";2;2;1;0;0;0;
1604032;"Lasowice Wielkie (2)";1;1;1;0;0;0;
1604043;"Wołczyn (3)";3;2;2;2;2;0;
1604044;"Wołczyn - miasto (4)";1;0;0;0;0;0;
1604045;"Wołczyn - obszar wiejski (5)";2;2;1;2;2;0;
1605000;"Powiat krapkowicki";22;20;19;4;4;3;
1605013;"Gogolin (3)";8;7;7;2;2;2;
1605014;"Gogolin - miasto (4)";7;7;6;2;2;2;
1605023;"Krapkowice (3)";8;7;6;1;0;0;
1605024;"Krapkowice - miasto (4)";7;6;6;0;0;0;
1605032;"Strzeleczki (2)";1;1;0;0;0;0;
1605042;"Walce (2)";1;1;1;1;1;1;
1605053;"Zdzieszowice (3)";5;5;5;0;0;0;
1605054;"Zdzieszowice - miasto (4)";5;5;5;0;0;0;
1606000;"Powiat namysłowski";49;48;46;46;46;43;
1606023;"Namysłów (3)";25;25;23;25;25;22;
1606024;"Namysłów - miasto (4)";9;9;7;9;9;7;
1606025;"Namysłów - obszar wiejski (5)";16;16;17;16;16;16;
1606032;"Pokój (2)";19;19;19;19;19;19;
1606042;"Świerczów (2)";3;3;2;0;0;0;
1606052;"Wilków (2)";2;2;2;2;2;2;
1607000;"Powiat nyski";245;236;239;54;50;48;
1607013;"Głuchołazy (3)";15;13;11;6;6;5;
